scientificname;longitude;latitude
Ocotea catharinensis;-48.973889;-25.866944
Ocotea catharinensis;-48.869444;-25.597778
Ocotea catharinensis;-48.710278;-24.853611
Ocotea marumbiensis;-48.914444;-25.448611
Ocotea marumbiensis;-48.914444;-25.448611
Ocotea marumbiensis;-48.914444;-25.448611
Ocotea marumbiensis;-48.698333;-25.618611
Ocotea odorifera;-48.765278;-24.8875
Ocotea porosa;-49.993333;-25.231667
Ocotea porosa;-51.058611;-26.205556
Ocotea porosa;-49.05;-25.75
Ocotea porosa;-49.05;-25.75
Ocotea porosa;-49.135;-25.390833
Ocotea porosa;-48.714722;-24.863889
Ocotea porosa;-50.142222;-24.716111
Ocotea porosa;-50.142222;-24.716111
Plinia hatschbachii;-48.716944;-24.860278
Alcantarea imperialis;-49.2388889;-25.4419444
Aloysia hatschbachii;-49.2391666;-25.4408333
Araucaria angustifolia;-49.1586111;-25.3158333
Baccharis aracatubensis;-48.9566667;-25.8902777
Byrsonima brachybotrya;-49.9575;-25.1891666
Hippeastrum santacatarina;-51.6744445;-26.5255556
Lafoensia nummularifolia;-49.2833333;-24.2833333
Lupinus gibertianus;-49.9694445;-25.1763889
Lupinus gibertianus;-50.1422222;-24.7161111
Matayba cristae;-48.8783334;-25.9369444
Matayba cristae;-48.9147222;-25.445
Mikania argyreiae;-50.0130556;-25.2052778
Mikania pinnatiloba;-51.9433333;-26.4319445
Mimosa strobiliflora;-49.87;-25.5475
Myrceugenia gertii;-49.0291667;-25.4425
Nectandra paranaensis;-48.6952777;-24.8527778
Nectandra paranaensis;-48.7169445;-24.8602778
Nectandra paranaensis;-48.6411111;-24.8188889
Ocotea catharinensis;-48.7102778;-24.8536111
Ocotea catharinensis;-48.7044444;-24.85
Ocotea marumbiensis;-48.6983333;-25.6186111
Ocotea porosa;-49.1463889;-25.2980555
Ocotea porosa;-49.2369444;-25.4422222
Ocotea porosa;-51.4552778;-25.7252778
Ocotea porosa;-51.4388889;-25.7105556
Ocotea porosa;-51.4388889;-25.7105556
Ocotea porosa;-51.4388889;-25.7108333
Oxalis hyalotricha;-54.4577778;-25.6477777
Oxalis hyalotricha;-54.4577778;-25.6483333
Oxalis hyalotricha;-54.2955555;-24.0688889
Oxalis paranaensis;-49.2063889;-25.5347222
Oxalis praetexta;-49.9577778;-25.1891666
Plinia cordifolia;-48.8802778;-25.9325
Plinia hatschbachii;-48.7169445;-24.8602778
Psidium araucanum;-49.55;-24.1833333
Serjania hatschbachii;-49.0175;-24.6427777
Valeriana reitziana;-51.9827778;-26.3855555
Xyris hatschbachii;-49.9525;-25.195
Xyris lucida;-48.9563889;-25.8897222
Xyris lucida;-49;-25.8833333
Xyris neglecta;-50.025;-24.4719445
Xyris neglecta;-49.6833333;-24.2072222
Xyris rigida;-51.5108333;-25.3827778
Xyris rigida;-51.8030556;-25.4233334
Xyris stenophylla;-49.7147222;-25.5386111
Xyris stenophylla;-49.7244445;-25.4386111
Xyris stenophylla;-49.7216667;-25.4669445
Xyris stenophylla;-48.8347222;-25.2455555
Xyris uninervis;-50.2497222;-24.5713889
Zygostigma australe;-51.6063889;-26.5355555
Zygostigma australe;-51.6763889;-26.5227778
Zygostigma australe;-51.6086111;-26.5336111
Byrsonima brachybotrya;-49.6666667;-24.1716667
Castela tweedii;-52.3311111;-24.1036111
Castela tweedii;-52.0441666;-24.4069444
Chascolytrum scabrum;-49.2333333;-25.3333333
Chromolaena rhinanthacea;-49.326944;-25.553333
Callisthene dryadum;-49.2388889;-25.4419444
Castela tweedii;-52.02;-24.48
Castela tweedii;-51.84;-24.48
Cedrela fissilis;-53.5277778;-24.4016667
Eugenia sclerocalyx;-48.9147222;-25.4461111
Euplassa cantareirae;-50.3083333;-24.1430555
Schaueria paranaensis;-48.9430555;-25.8819445
Symplocos corymboclados;-48.9566667;-25.8902777
Symplocos corymboclados;-48.9722223;-25.5277778
Symplocos corymboclados;-48.8280556;-25.1266667
Lupinus gibertianus;-49.9694445;-25.1763889
Matayba cristae;-48.9147222;-25.445
Matayba cristae;-48.9666667;-25.8688889
Matayba cristae;-48.8783334;-25.9369444
Mimosa strobiliflora;-49.2391666;-25.4408333
Mimosa strobiliflora;-49.2388889;-25.4419444
Monteiroa smithii;-49.0405555;-25.5508333
Muellera graciliflora;-49.1697223;-25.3163889
Nectandra paranaensis;-48.7169445;-24.8602778
Nectandra paranaensis;-48.6952777;-24.8527778
Xyris neglecta;-49.7683334;-25.4652778
Xyris stenophylla;-49.05;-25.75
Ocotea porosa;-49.2388889;-25.4419444
Ocotea catharinensis;-48.6666667;-24.8477777
Ocotea odorifera;-49.1463889;-25.2980555
Ocotea odorifera;-49.5;-24.84
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-49.1586111;-25.3158333
Ocotea porosa;-48.9566667;-25.8902777
Ocotea porosa;-49.1586111;-25.3158333
Ocotea porosa;-49.1258334;-25.3119444
Ocotea porosa;-50.0011111;-25.2536111
Ocotea porosa;-50.0011111;-25.2536111
